sq_map_id,scale_id,question_id,display_order,created_at
DASS-21/2026/DASS-21/009,DASS-21/2026,DASS-21/009,9,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/010,DASS-21/2026,DASS-21/010,10,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/011,DASS-21/2026,DASS-21/011,11,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/012,DASS-21/2026,DASS-21/012,12,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/013,DASS-21/2026,DASS-21/013,13,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/014,DASS-21/2026,DASS-21/014,14,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/015,DASS-21/2026,DASS-21/015,15,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/016,DASS-21/2026,DASS-21/016,16,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/017,DASS-21/2026,DASS-21/017,17,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/018,DASS-21/2026,DASS-21/018,18,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/019,DASS-21/2026,DASS-21/019,19,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/020,DASS-21/2026,DASS-21/020,20,2026-09-04 00:00:00+00
DASS-21/2026/DASS-21/021,DASS-21/2026,DASS-21/021,21,2026-09-04 00:00:00+00
DHI/2026/DHI/001,DHI/2026,DHI/001,1,2026-09-04 00:00:00+00
DHI/2026/DHI/002,DHI/2026,DHI/002,2,2026-09-04 00:00:00+00
DHI/2026/DHI/003,DHI/2026,DHI/003,3,2026-09-04 00:00:00+00
DHI/2026/DHI/004,DHI/2026,DHI/004,4,2026-09-04 00:00:00+00
DHI/2026/DHI/005,DHI/2026,DHI/005,5,2026-09-04 00:00:00+00
DHI/2026/DHI/006,DHI/2026,DHI/006,6,2026-09-04 00:00:00+00
DHI/2026/DHI/007,DHI/2026,DHI/007,7,2026-09-04 00:00:00+00
DHI/2026/DHI/008,DHI/2026,DHI/008,8,2026-09-04 00:00:00+00
DHI/2026/DHI/009,DHI/2026,DHI/009,9,2026-09-04 00:00:00+00
DHI/2026/DHI/010,DHI/2026,DHI/010,10,2026-09-04 00:00:00+00
DHI/2026/DHI/011,DHI/2026,DHI/011,11,2026-09-04 00:00:00+00
DHI/2026/DHI/012,DHI/2026,DHI/012,12,2026-09-04 00:00:00+00
DHI/2026/DHI/013,DHI/2026,DHI/013,13,2026-09-04 00:00:00+00
DHI/2026/DHI/014,DHI/2026,DHI/014,14,2026-09-04 00:00:00+00
DHI/2026/DHI/015,DHI/2026,DHI/015,15,2026-09-04 00:00:00+00
DHI/2026/DHI/016,DHI/2026,DHI/016,16,2026-09-04 00:00:00+00
DHI/2026/DHI/017,DHI/2026,DHI/017,17,2026-09-04 00:00:00+00
DHI/2026/DHI/018,DHI/2026,DHI/018,18,2026-09-04 00:00:00+00
DHI/2026/DHI/019,DHI/2026,DHI/019,19,2026-09-04 00:00:00+00
DHI/2026/DHI/020,DHI/2026,DHI/020,20,2026-09-04 00:00:00+00
DHI/2026/DHI/021,DHI/2026,DHI/021,21,2026-09-04 00:00:00+00
DHI/2026/DHI/022,DHI/2026,DHI/022,22,2026-09-04 00:00:00+00
DHI/2026/DHI/023,DHI/2026,DHI/023,23,2026-09-04 00:00:00+00
DHI/2026/DHI/024,DHI/2026,DHI/024,24,2026-09-04 00:00:00+00
DHI/2026/DHI/025,DHI/2026,DHI/025,25,2026-09-04 00:00:00+00
DN-4/2026/DN-4/001,DN-4/2026,DN-4/001,1,2026-09-04 00:00:00+00
DN-4/2026/DN-4/002,DN-4/2026,DN-4/002,2,2026-09-04 00:00:00+00
DN-4/2026/DN-4/003,DN-4/2026,DN-4/003,3,2026-09-04 00:00:00+00
DN-4/2026/DN-4/004,DN-4/2026,DN-4/004,4,2026-09-04 00:00:00+00
DN-4/2026/DN-4/005,DN-4/2026,DN-4/005,5,2026-09-04 00:00:00+00
DN-4/2026/DN-4/006,DN-4/2026,DN-4/006,6,2026-09-04 00:00:00+00
DN-4/2026/DN-4/007,DN-4/2026,DN-4/007,7,2026-09-04 00:00:00+00
DN-4/2026/DN-4/008,DN-4/2026,DN-4/008,8,2026-09-04 00:00:00+00
DN-4/2026/DN-4/009,DN-4/2026,DN-4/009,9,2026-09-04 00:00:00+00
DN-4/2026/DN-4/010,DN-4/2026,DN-4/010,10,2026-09-04 00:00:00+00
DSRS/2026/DSRS/001,DSRS/2026,DSRS/001,1,2026-09-04 00:00:00+00
DSRS/2026/DSRS/002,DSRS/2026,DSRS/002,2,2026-09-04 00:00:00+00
DSRS/2026/DSRS/003,DSRS/2026,DSRS/003,3,2026-09-04 00:00:00+00
DSRS/2026/DSRS/004,DSRS/2026,DSRS/004,4,2026-09-04 00:00:00+00
DSRS/2026/DSRS/005,DSRS/2026,DSRS/005,5,2026-09-04 00:00:00+00
DSRS/2026/DSRS/006,DSRS/2026,DSRS/006,6,2026-09-04 00:00:00+00
DSRS/2026/DSRS/007,DSRS/2026,DSRS/007,7,2026-09-04 00:00:00+00
DSRS/2026/DSRS/008,DSRS/2026,DSRS/008,8,2026-09-04 00:00:00+00
DSRS/2026/DSRS/009,DSRS/2026,DSRS/009,9,2026-09-04 00:00:00+00
DSRS/2026/DSRS/010,DSRS/2026,DSRS/010,10,2026-09-04 00:00:00+00
DSRS/2026/DSRS/011,DSRS/2026,DSRS/011,11,2026-09-04 00:00:00+00
DSRS/2026/DSRS/012,DSRS/2026,DSRS/012,12,2026-09-04 00:00:00+00
EQ-5D-5L/2026/EQ-5D-5L/001,EQ-5D-5L/2026,EQ-5D-5L/001,1,2026-09-04 00:00:00+00
EQ-5D-5L/2026/EQ-5D-5L/002,EQ-5D-5L/2026,EQ-5D-5L/002,2,2026-09-04 00:00:00+00
EQ-5D-5L/2026/EQ-5D-5L/003,EQ-5D-5L/2026,EQ-5D-5L/003,3,2026-09-04 00:00:00+00
EQ-5D-5L/2026/EQ-5D-5L/004,EQ-5D-5L/2026,EQ-5D-5L/004,4,2026-09-04 00:00:00+00
EQ-5D-5L/2026/EQ-5D-5L/005,EQ-5D-5L/2026,EQ-5D-5L/005,5,2026-09-04 00:00:00+00
FFS/2026/FFS/001,FFS/2026,FFS/001,1,2026-09-04 00:00:00+00
FFS/2026/FFS/002,FFS/2026,FFS/002,2,2026-09-04 00:00:00+00
FFS/2026/FFS/003,FFS/2026,FFS/003,3,2026-09-04 00:00:00+00
FFS/2026/FFS/004,FFS/2026,FFS/004,4,2026-09-04 00:00:00+00
FFS/2026/FFS/005,FFS/2026,FFS/005,5,2026-09-04 00:00:00+00
FFS/2026/FFS/006,FFS/2026,FFS/006,6,2026-09-04 00:00:00+00
FFS/2026/FFS/007,FFS/2026,FFS/007,7,2026-09-04 00:00:00+00
FIQR/2026/FIQR/001,FIQR/2026,FIQR/001,1,2026-09-04 00:00:00+00
FIQR/2026/FIQR/002,FIQR/2026,FIQR/002,2,2026-09-04 00:00:00+00
FIQR/2026/FIQR/003,FIQR/2026,FIQR/003,3,2026-09-04 00:00:00+00
FIQR/2026/FIQR/004,FIQR/2026,FIQR/004,4,2026-09-04 00:00:00+00
FIQR/2026/FIQR/005,FIQR/2026,FIQR/005,5,2026-09-04 00:00:00+00
FIQR/2026/FIQR/006,FIQR/2026,FIQR/006,6,2026-09-04 00:00:00+00
FIQR/2026/FIQR/007,FIQR/2026,FIQR/007,7,2026-09-04 00:00:00+00
FIQR/2026/FIQR/008,FIQR/2026,FIQR/008,8,2026-09-04 00:00:00+00
FIQR/2026/FIQR/009,FIQR/2026,FIQR/009,9,2026-09-04 00:00:00+00
FIQR/2026/FIQR/010,FIQR/2026,FIQR/010,10,2026-09-04 00:00:00+00
FIQR/2026/FIQR/011,FIQR/2026,FIQR/011,11,2026-09-04 00:00:00+00
FIQR/2026/FIQR/012,FIQR/2026,FIQR/012,12,2026-09-04 00:00:00+00
FIQR/2026/FIQR/013,FIQR/2026,FIQR/013,13,2026-09-04 00:00:00+00
FIQR/2026/FIQR/014,FIQR/2026,FIQR/014,14,2026-09-04 00:00:00+00
FIQR/2026/FIQR/015,FIQR/2026,FIQR/015,15,2026-09-04 00:00:00+00
FIQR/2026/FIQR/016,FIQR/2026,FIQR/016,16,2026-09-04 00:00:00+00
FIQR/2026/FIQR/017,FIQR/2026,FIQR/017,17,2026-09-04 00:00:00+00
FIQR/2026/FIQR/018,FIQR/2026,FIQR/018,18,2026-09-04 00:00:00+00
FIQR/2026/FIQR/019,FIQR/2026,FIQR/019,19,2026-09-04 00:00:00+00
FIQR/2026/FIQR/020,FIQR/2026,FIQR/020,20,2026-09-04 00:00:00+00
FIQR/2026/FIQR/021,FIQR/2026,FIQR/021,21,2026-09-04 00:00:00+00
FSS/2026/FSS/001,FSS/2026,FSS/001,1,2026-09-04 00:00:00+00
FSS/2026/FSS/002,FSS/2026,FSS/002,2,2026-09-04 00:00:00+00
FSS/2026/FSS/003,FSS/2026,FSS/003,3,2026-09-04 00:00:00+00
FSS/2026/FSS/004,FSS/2026,FSS/004,4,2026-09-04 00:00:00+00
FSS/2026/FSS/005,FSS/2026,FSS/005,5,2026-09-04 00:00:00+00
FSS/2026/FSS/006,FSS/2026,FSS/006,6,2026-09-04 00:00:00+00
FSS/2026/FSS/007,FSS/2026,FSS/007,7,2026-09-04 00:00:00+00
FSS/2026/FSS/008,FSS/2026,FSS/008,8,2026-09-04 00:00:00+00
FSS/2026/FSS/009,FSS/2026,FSS/009,9,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/001,GAD-7/2026,GAD-7/001,1,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/002,GAD-7/2026,GAD-7/002,2,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/003,GAD-7/2026,GAD-7/003,3,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/004,GAD-7/2026,GAD-7/004,4,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/005,GAD-7/2026,GAD-7/005,5,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/006,GAD-7/2026,GAD-7/006,6,2026-09-04 00:00:00+00
GAD-7/2026/GAD-7/007,GAD-7/2026,GAD-7/007,7,2026-09-04 00:00:00+00
GDS/2026/GDS/001,GDS/2026,GDS/001,1,2026-09-04 00:00:00+00
GDS/2026/GDS/002,GDS/2026,GDS/002,2,2026-09-04 00:00:00+00
GDS/2026/GDS/003,GDS/2026,GDS/003,3,2026-09-04 00:00:00+00
GDS/2026/GDS/004,GDS/2026,GDS/004,4,2026-09-04 00:00:00+00
GDS/2026/GDS/005,GDS/2026,GDS/005,5,2026-09-04 00:00:00+00
GDS/2026/GDS/006,GDS/2026,GDS/006,6,2026-09-04 00:00:00+00
GDS/2026/GDS/007,GDS/2026,GDS/007,7,2026-09-04 00:00:00+00
HDRS/2026/HDRS/001,HDRS/2026,HDRS/001,1,2026-09-04 00:00:00+00
HDRS/2026/HDRS/002,HDRS/2026,HDRS/002,2,2026-09-04 00:00:00+00
HDRS/2026/HDRS/003,HDRS/2026,HDRS/003,3,2026-09-04 00:00:00+00
HDRS/2026/HDRS/004,HDRS/2026,HDRS/004,4,2026-09-04 00:00:00+00
HDRS/2026/HDRS/005,HDRS/2026,HDRS/005,5,2026-09-04 00:00:00+00
HDRS/2026/HDRS/006,HDRS/2026,HDRS/006,6,2026-09-04 00:00:00+00
HDRS/2026/HDRS/007,HDRS/2026,HDRS/007,7,2026-09-04 00:00:00+00
HDRS/2026/HDRS/008,HDRS/2026,HDRS/008,8,2026-09-04 00:00:00+00
HDRS/2026/HDRS/009,HDRS/2026,HDRS/009,9,2026-09-04 00:00:00+00
HDRS/2026/HDRS/010,HDRS/2026,HDRS/010,10,2026-09-04 00:00:00+00
HDRS/2026/HDRS/011,HDRS/2026,HDRS/011,11,2026-09-04 00:00:00+00
HDRS/2026/HDRS/012,HDRS/2026,HDRS/012,12,2026-09-04 00:00:00+00
HDRS/2026/HDRS/013,HDRS/2026,HDRS/013,13,2026-09-04 00:00:00+00
HDRS/2026/HDRS/014,HDRS/2026,HDRS/014,14,2026-09-04 00:00:00+00
HDRS/2026/HDRS/015,HDRS/2026,HDRS/015,15,2026-09-04 00:00:00+00
HDRS/2026/HDRS/016,HDRS/2026,HDRS/016,16,2026-09-04 00:00:00+00
HDRS/2026/HDRS/017,HDRS/2026,HDRS/017,17,2026-09-04 00:00:00+00
